Question,Option1,Option2,Option3,Option4,Answer
Which planet is known as the Red Planet?,Mercury,Jupiter,Mars,Venus,Mars
Which is the largest desert?,Kalahari,Antarctic,Sahara,Gobi,Antarctic
Which country has the most islands?,Indonesia,Philippines,Finland,Sweden,Sweden
Which is the hottest planet in the solar system?,Mars,Neptune,Mercury,Venus,Venus
Where is Mount Everest located?,China,Bhutan,India,Nepal,Nepal
Which country has the most islands?,Finland,Sweden,Philippines,Indonesia,Sweden
Which is the largest desert?,Sahara,Gobi,Kalahari,Antarctic,Antarctic
Which is the hottest planet in the solar system?,Mercury,Venus,Mars,Neptune,Venus
First person on the Moon?,Michael Collins,Buzz Aldrin,Neil Armstrong,Yuri Gagarin,Neil Armstrong
What is the largest planet in our solar system?,Saturn,Mars,Jupiter,Earth,Jupiter
Where is Mount Everest located?,Bhutan,India,China,Nepal,Nepal
Which planet has the most moons?,Mars,Jupiter,Saturn,Earth,Saturn
Where is Mount Everest located?,China,Nepal,Bhutan,India,Nepal
Which country has the most islands?,Finland,Sweden,Indonesia,Philippines,Sweden
What is the largest planet in our solar system?,Saturn,Earth,Mars,Jupiter,Jupiter
Which planet is farthest from the sun?,Uranus,Jupiter,Saturn,Neptune,Neptune
What is the smallest country?,Monaco,Tuvalu,Vatican City,Nauru,Vatican City
Which is the largest desert?,Kalahari,Sahara,Antarctic,Gobi,Antarctic
Which continent has the most countries?,Europe,Africa,South America,Asia,Africa
Where is Mount Everest located?,Nepal,China,Bhutan,India,Nepal
Which continent has the most countries?,Europe,Asia,South America,Africa,Africa
Which country has the most islands?,Finland,Philippines,Sweden,Indonesia,Sweden
Which planet is farthest from the sun?,Neptune,Uranus,Jupiter,Saturn,Neptune
Which river is the longest in the world?,Amazon,Nile,Mississippi,Yangtze,Nile
First person on the Moon?,Michael Collins,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,Neil Armstrong
What is the capital of Australia?,Melbourne,Canberra,Sydney,Brisbane,Canberra
What is the capital of Australia?,Brisbane,Canberra,Sydney,Melbourne,Canberra
Which river is the longest in the world?,Mississippi,Nile,Yangtze,Amazon,Nile
What is the smallest country?,Tuvalu,Nauru,Monaco,Vatican City,Vatican City
Which is the largest desert?,Sahara,Kalahari,Antarctic,Gobi,Antarctic
Which planet is known as the Red Planet?,Jupiter,Mercury,Mars,Venus,Mars
What is the largest planet in our solar system?,Jupiter,Earth,Mars,Saturn,Jupiter
Which planet has the most moons?,Jupiter,Saturn,Mars,Earth,Saturn
Which is the largest desert?,Antarctic,Kalahari,Sahara,Gobi,Antarctic
Which galaxy do we live in?,Sombrero,Andromeda,Whirlpool,Milky Way,Milky Way
Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,Mars
Which galaxy do we live in?,Milky Way,Sombrero,Andromeda,Whirlpool,Milky Way
Which planet is known as the Red Planet?,Mercury,Jupiter,Mars,Venus,Mars
Which river is the longest in the world?,Yangtze,Amazon,Mississippi,Nile,Nile
Which is the hottest planet in the solar system?,Mercury,Venus,Neptune,Mars,Venus
What is the smallest country?,Tuvalu,Monaco,Nauru,Vatican City,Vatican City
What is the largest planet in our solar system?,Earth,Jupiter,Saturn,Mars,Jupiter
Which is the largest ocean?,Arctic,Indian,Atlantic,Pacific,Pacific
What is the capital of Australia?,Canberra,Sydney,Melbourne,Brisbane,Canberra
Which is the largest ocean?,Indian,Arctic,Atlantic,Pacific,Pacific
What protects Earth from solar winds?,Ozone Layer,Atmosphere,Magnetosphere,Clouds,Magnetosphere
What is the smallest country?,Tuvalu,Monaco,Vatican City,Nauru,Vatican City
What protects Earth from solar winds?,Atmosphere,Ozone Layer,Clouds,Magnetosphere,Magnetosphere
Which galaxy do we live in?,Whirlpool,Sombrero,Milky Way,Andromeda,Milky Way
Which is the largest ocean?,Pacific,Arctic,Atlantic,Indian,Pacific
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Mercury,Mars
Which country has the most islands?,Philippines,Finland,Sweden,Indonesia,Sweden
Which planet is farthest from the sun?,Saturn,Uranus,Jupiter,Neptune,Neptune
Which planet is farthest from the sun?,Saturn,Jupiter,Uranus,Neptune,Neptune
What is the smallest country?,Monaco,Nauru,Tuvalu,Vatican City,Vatican City
What protects Earth from solar winds?,Atmosphere,Magnetosphere,Clouds,Ozone Layer,Magnetosphere
Where is Mount Everest located?,China,India,Nepal,Bhutan,Nepal
First person on the Moon?,Buzz Aldrin,Michael Collins,Neil Armstrong,Yuri Gagarin,Neil Armstrong
Which planet is farthest from the sun?,Saturn,Neptune,Uranus,Jupiter,Neptune
Which galaxy do we live in?,Milky Way,Sombrero,Whirlpool,Andromeda,Milky Way
Which galaxy do we live in?,Andromeda,Sombrero,Whirlpool,Milky Way,Milky Way
Which country has the most islands?,Finland,Sweden,Philippines,Indonesia,Sweden
Which planet is farthest from the sun?,Saturn,Neptune,Jupiter,Uranus,Neptune
Which galaxy do we live in?,Whirlpool,Milky Way,Andromeda,Sombrero,Milky Way
What is the smallest country?,Monaco,Vatican City,Tuvalu,Nauru,Vatican City
Which is the hottest planet in the solar system?,Mercury,Venus,Neptune,Mars,Venus
What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,Jupiter
What is the smallest country?,Tuvalu,Vatican City,Nauru,Monaco,Vatican City
Which is the hottest planet in the solar system?,Venus,Mercury,Neptune,Mars,Venus
Which country has the most islands?,Indonesia,Philippines,Finland,Sweden,Sweden
Which country has the most islands?,Philippines,Finland,Indonesia,Sweden,Sweden
Which planet is farthest from the sun?,Uranus,Saturn,Neptune,Jupiter,Neptune
Which is the hottest planet in the solar system?,Venus,Mercury,Mars,Neptune,Venus
First person on the Moon?,Neil Armstrong,Michael Collins,Buzz Aldrin,Yuri Gagarin,Neil Armstrong
What is the smallest country?,Vatican City,Monaco,Nauru,Tuvalu,Vatican City
Which planet is known as the Red Planet?,Venus,Mercury,Jupiter,Mars,Mars
Which planet is farthest from the sun?,Saturn,Jupiter,Neptune,Uranus,Neptune
Which planet is farthest from the sun?,Uranus,Saturn,Jupiter,Neptune,Neptune
What is the largest planet in our solar system?,Earth,Saturn,Jupiter,Mars,Jupiter
First person on the Moon?,Michael Collins,Yuri Gagarin,Neil Armstrong,Buzz Aldrin,Neil Armstrong
Which planet has the most moons?,Jupiter,Saturn,Earth,Mars,Saturn
Which is the hottest planet in the solar system?,Neptune,Mercury,Venus,Mars,Venus
Which country has the most islands?,Philippines,Sweden,Finland,Indonesia,Sweden
Which is the hottest planet in the solar system?,Neptune,Mars,Mercury,Venus,Venus
What is the capital of Australia?,Sydney,Melbourne,Brisbane,Canberra,Canberra
Which planet is known as the Red Planet?,Mars,Jupiter,Venus,Mercury,Mars
Which planet is farthest from the sun?,Uranus,Neptune,Jupiter,Saturn,Neptune
Which country has the most islands?,Finland,Philippines,Sweden,Indonesia,Sweden
First person on the Moon?,Michael Collins,Yuri Gagarin,Buzz Aldrin,Neil Armstrong,Neil Armstrong
Which river is the longest in the world?,Nile,Amazon,Mississippi,Yangtze,Nile
Which river is the longest in the world?,Amazon,Nile,Yangtze,Mississippi,Nile
Which planet is farthest from the sun?,Uranus,Saturn,Jupiter,Neptune,Neptune
Which galaxy do we live in?,Sombrero,Milky Way,Andromeda,Whirlpool,Milky Way
Which planet has the most moons?,Mars,Jupiter,Earth,Saturn,Saturn
Which is the hottest planet in the solar system?,Neptune,Mercury,Venus,Mars,Venus
Where is Mount Everest located?,Nepal,India,Bhutan,China,Nepal
Which is the largest desert?,Antarctic,Kalahari,Gobi,Sahara,Antarctic
Which continent has the most countries?,Africa,South America,Asia,Europe,Africa
Which is the largest desert?,Gobi,Antarctic,Kalahari,Sahara,Antarctic
Which river is the longest in the world?,Yangtze,Amazon,Nile,Mississippi,Nile
What protects Earth from solar winds?,Clouds,Magnetosphere,Ozone Layer,Atmosphere,Magnetosphere
Where is Mount Everest located?,India,Nepal,China,Bhutan,Nepal
Which planet is known as the Red Planet?,Jupiter,Mercury,Venus,Mars,Mars
Which planet is farthest from the sun?,Uranus,Neptune,Jupiter,Saturn,Neptune
Which continent has the most countries?,Africa,South America,Europe,Asia,Africa
Which is the largest ocean?,Indian,Atlantic,Pacific,Arctic,Pacific
Where is Mount Everest located?,India,Bhutan,China,Nepal,Nepal
First person on the Moon?,Michael Collins,Yuri Gagarin,Buzz Aldrin,Neil Armstrong,Neil Armstrong
What is the capital of Australia?,Brisbane,Canberra,Melbourne,Sydney,Canberra
What is the smallest country?,Vatican City,Nauru,Tuvalu,Monaco,Vatican City
Which country has the most islands?,Philippines,Sweden,Finland,Indonesia,Sweden
Which continent has the most countries?,Asia,Africa,Europe,South America,Africa
What is the largest planet in our solar system?,Earth,Jupiter,Saturn,Mars,Jupiter
Which is the largest desert?,Sahara,Antarctic,Kalahari,Gobi,Antarctic
Which country has the most islands?,Sweden,Indonesia,Philippines,Finland,Sweden
Which is the largest desert?,Antarctic,Kalahari,Gobi,Sahara,Antarctic
Which planet is farthest from the sun?,Saturn,Neptune,Uranus,Jupiter,Neptune
Which galaxy do we live in?,Milky Way,Andromeda,Whirlpool,Sombrero,Milky Way
Which country has the most islands?,Sweden,Philippines,Finland,Indonesia,Sweden
What is the capital of Australia?,Brisbane,Canberra,Sydney,Melbourne,Canberra
Which is the largest ocean?,Atlantic,Pacific,Arctic,Indian,Pacific
First person on the Moon?,Buzz Aldrin,Michael Collins,Yuri Gagarin,Neil Armstrong,Neil Armstrong
First person on the Moon?,Neil Armstrong,Buzz Aldrin,Michael Collins,Yuri Gagarin,Neil Armstrong
Which planet has the most moons?,Earth,Saturn,Mars,Jupiter,Saturn
What is the largest planet in our solar system?,Jupiter,Saturn,Mars,Earth,Jupiter
Which is the largest desert?,Sahara,Antarctic,Kalahari,Gobi,Antarctic
Which river is the longest in the world?,Amazon,Mississippi,Nile,Yangtze,Nile
Which river is the longest in the world?,Amazon,Mississippi,Nile,Yangtze,Nile
Which planet is farthest from the sun?,Jupiter,Saturn,Uranus,Neptune,Neptune
What is the capital of Australia?,Sydney,Brisbane,Melbourne,Canberra,Canberra
What is the smallest country?,Tuvalu,Monaco,Vatican City,Nauru,Vatican City
What is the capital of Australia?,Brisbane,Canberra,Melbourne,Sydney,Canberra
What is the capital of Australia?,Melbourne,Brisbane,Sydney,Canberra,Canberra
Where is Mount Everest located?,Bhutan,Nepal,China,India,Nepal
Which river is the longest in the world?,Amazon,Nile,Mississippi,Yangtze,Nile
What is the largest planet in our solar system?,Saturn,Earth,Jupiter,Mars,Jupiter
Which country has the most islands?,Indonesia,Sweden,Philippines,Finland,Sweden
Which river is the longest in the world?,Mississippi,Yangtze,Amazon,Nile,Nile
First person on the Moon?,Michael Collins,Buzz Aldrin,Yuri Gagarin,Neil Armstrong,Neil Armstrong
First person on the Moon?,Michael Collins,Yuri Gagarin,Buzz Aldrin,Neil Armstrong,Neil Armstrong
What is the smallest country?,Monaco,Tuvalu,Vatican City,Nauru,Vatican City
Which galaxy do we live in?,Sombrero,Milky Way,Andromeda,Whirlpool,Milky Way
First person on the Moon?,Neil Armstrong,Yuri Gagarin,Buzz Aldrin,Michael Collins,Neil Armstrong
Which continent has the most countries?,Asia,Africa,Europe,South America,Africa
Which is the hottest planet in the solar system?,Mars,Venus,Mercury,Neptune,Venus
Which planet is farthest from the sun?,Uranus,Saturn,Neptune,Jupiter,Neptune
Which planet is farthest from the sun?,Neptune,Jupiter,Uranus,Saturn,Neptune
Which continent has the most countries?,Asia,Europe,South America,Africa,Africa
Which is the largest ocean?,Indian,Pacific,Atlantic,Arctic,Pacific
Where is Mount Everest located?,China,India,Nepal,Bhutan,Nepal
Where is Mount Everest located?,India,Nepal,China,Bhutan,Nepal
What is the smallest country?,Tuvalu,Vatican City,Monaco,Nauru,Vatican City
Which planet has the most moons?,Mars,Jupiter,Saturn,Earth,Saturn
Which planet is known as the Red Planet?,Mars,Jupiter,Mercury,Venus,Mars
What is the capital of Australia?,Melbourne,Brisbane,Sydney,Canberra,Canberra
What is the smallest country?,Tuvalu,Vatican City,Monaco,Nauru,Vatican City
Which planet has the most moons?,Saturn,Mars,Jupiter,Earth,Saturn
Which is the hottest planet in the solar system?,Mars,Mercury,Neptune,Venus,Venus
Which continent has the most countries?,South America,Asia,Europe,Africa,Africa
Which country has the most islands?,Indonesia,Sweden,Finland,Philippines,Sweden
What is the capital of Australia?,Brisbane,Melbourne,Sydney,Canberra,Canberra
What is the smallest country?,Nauru,Monaco,Tuvalu,Vatican City,Vatican City
Which planet is known as the Red Planet?,Mercury,Jupiter,Mars,Venus,Mars
Which continent has the most countries?,Africa,Europe,Asia,South America,Africa
What is the capital of Australia?,Melbourne,Canberra,Brisbane,Sydney,Canberra
Which continent has the most countries?,Europe,South America,Asia,Africa,Africa
Which is the largest ocean?,Atlantic,Arctic,Indian,Pacific,Pacific
What is the capital of Australia?,Melbourne,Brisbane,Canberra,Sydney,Canberra
Which country has the most islands?,Indonesia,Sweden,Finland,Philippines,Sweden
What is the smallest country?,Vatican City,Monaco,Nauru,Tuvalu,Vatican City
Which country has the most islands?,Sweden,Finland,Indonesia,Philippines,Sweden
First person on the Moon?,Neil Armstrong,Yuri Gagarin,Michael Collins,Buzz Aldrin,Neil Armstrong
Which is the largest desert?,Antarctic,Gobi,Sahara,Kalahari,Antarctic
First person on the Moon?,Buzz Aldrin,Yuri Gagarin,Michael Collins,Neil Armstrong,Neil Armstrong
What is the largest planet in our solar system?,Jupiter,Saturn,Earth,Mars,Jupiter
What is the smallest country?,Nauru,Tuvalu,Vatican City,Monaco,Vatican City
What is the capital of Australia?,Brisbane,Sydney,Melbourne,Canberra,Canberra
What is the capital of Australia?,Sydney,Brisbane,Canberra,Melbourne,Canberra
Which is the largest ocean?,Atlantic,Pacific,Arctic,Indian,Pacific
Which is the largest desert?,Gobi,Kalahari,Sahara,Antarctic,Antarctic
Which river is the longest in the world?,Mississippi,Nile,Yangtze,Amazon,Nile
Which river is the longest in the world?,Mississippi,Nile,Amazon,Yangtze,Nile
Which country has the most islands?,Philippines,Sweden,Finland,Indonesia,Sweden
Which planet is farthest from the sun?,Uranus,Saturn,Jupiter,Neptune,Neptune
Which galaxy do we live in?,Sombrero,Milky Way,Andromeda,Whirlpool,Milky Way
What protects Earth from solar winds?,Magnetosphere,Atmosphere,Ozone Layer,Clouds,Magnetosphere
First person on the Moon?,Neil Armstrong,Yuri Gagarin,Buzz Aldrin,Michael Collins,Neil Armstrong
Which continent has the most countries?,South America,Europe,Africa,Asia,Africa
Which continent has the most countries?,Asia,Europe,Africa,South America,Africa
First person on the Moon?,Yuri Gagarin,Michael Collins,Neil Armstrong,Buzz Aldrin,Neil Armstrong
What is the largest planet in our solar system?,Saturn,Jupiter,Earth,Mars,Jupiter
Which planet is known as the Red Planet?,Jupiter,Mercury,Mars,Venus,Mars
Which continent has the most countries?,Asia,South America,Africa,Europe,Africa
First person on the Moon?,Yuri Gagarin,Buzz Aldrin,Neil Armstrong,Michael Collins,Neil Armstrong
Which is the largest desert?,Gobi,Sahara,Antarctic,Kalahari,Antarctic
What is the smallest country?,Vatican City,Monaco,Tuvalu,Nauru,Vatican City
Which planet has the most moons?,Saturn,Mars,Earth,Jupiter,Saturn
Which planet is farthest from the sun?,Uranus,Neptune,Jupiter,Saturn,Neptune
Which planet is known as the Red Planet?,Jupiter,Mars,Mercury,Venus,Mars
First person on the Moon?,Yuri Gagarin,Neil Armstrong,Buzz Aldrin,Michael Collins,Neil Armstrong
Which planet has the most moons?,Saturn,Jupiter,Mars,Earth,Saturn
Where is Mount Everest located?,India,China,Nepal,Bhutan,Nepal
What is the capital of Australia?,Sydney,Canberra,Melbourne,Brisbane,Canberra
Which is the largest desert?,Gobi,Kalahari,Sahara,Antarctic,Antarctic
What protects Earth from solar winds?,Ozone Layer,Clouds,Atmosphere,Magnetosphere,Magnetosphere
Which planet is known as the Red Planet?,Jupiter,Venus,Mars,Mercury,Mars
Where is Mount Everest located?,China,Nepal,India,Bhutan,Nepal
Which is the largest ocean?,Indian,Arctic,Pacific,Atlantic,Pacific
Which country has the most islands?,Sweden,Philippines,Finland,Indonesia,Sweden
Which planet is farthest from the sun?,Jupiter,Neptune,Saturn,Uranus,Neptune
What protects Earth from solar winds?,Magnetosphere,Atmosphere,Clouds,Ozone Layer,Magnetosphere
Which planet is farthest from the sun?,Saturn,Jupiter,Neptune,Uranus,Neptune
Which is the largest ocean?,Indian,Pacific,Atlantic,Arctic,Pacific
What protects Earth from solar winds?,Atmosphere,Clouds,Ozone Layer,Magnetosphere,Magnetosphere
Which is the largest ocean?,Indian,Pacific,Arctic,Atlantic,Pacific
Which river is the longest in the world?,Amazon,Mississippi,Nile,Yangtze,Nile
Which continent has the most countries?,Asia,Europe,South America,Africa,Africa
What is the smallest country?,Vatican City,Tuvalu,Monaco,Nauru,Vatican City
Which planet is farthest from the sun?,Uranus,Saturn,Jupiter,Neptune,Neptune
Which is the largest ocean?,Atlantic,Indian,Arctic,Pacific,Pacific
Which planet has the most moons?,Saturn,Mars,Earth,Jupiter,Saturn
Which is the hottest planet in the solar system?,Mars,Neptune,Mercury,Venus,Venus
Which river is the longest in the world?,Mississippi,Amazon,Yangtze,Nile,Nile
Which is the hottest planet in the solar system?,Mars,Mercury,Neptune,Venus,Venus
Which planet is known as the Red Planet?,Mars,Venus,Mercury,Jupiter,Mars
What is the smallest country?,Vatican City,Monaco,Nauru,Tuvalu,Vatican City
First person on the Moon?,Buzz Aldrin,Yuri Gagarin,Michael Collins,Neil Armstrong,Neil Armstrong
What is the capital of Australia?,Sydney,Brisbane,Canberra,Melbourne,Canberra
What is the capital of Australia?,Melbourne,Brisbane,Sydney,Canberra,Canberra
Which planet has the most moons?,Earth,Jupiter,Mars,Saturn,Saturn
What is the largest planet in our solar system?,Saturn,Earth,Mars,Jupiter,Jupiter
What is the capital of Australia?,Canberra,Sydney,Melbourne,Brisbane,Canberra
Which galaxy do we live in?,Andromeda,Sombrero,Whirlpool,Milky Way,Milky Way
Where is Mount Everest located?,India,China,Nepal,Bhutan,Nepal
What is the largest planet in our solar system?,Jupiter,Earth,Saturn,Mars,Jupiter
Which galaxy do we live in?,Andromeda,Milky Way,Sombrero,Whirlpool,Milky Way
Which continent has the most countries?,South America,Africa,Europe,Asia,Africa
What is the largest planet in our solar system?,Jupiter,Saturn,Earth,Mars,Jupiter
What is the largest planet in our solar system?,Earth,Jupiter,Mars,Saturn,Jupiter
Which planet is known as the Red Planet?,Venus,Jupiter,Mercury,Mars,Mars
Which is the largest desert?,Sahara,Kalahari,Gobi,Antarctic,Antarctic
What protects Earth from solar winds?,Atmosphere,Clouds,Magnetosphere,Ozone Layer,Magnetosphere
Which planet has the most moons?,Mars,Jupiter,Saturn,Earth,Saturn
Which continent has the most countries?,Africa,South America,Asia,Europe,Africa
What protects Earth from solar winds?,Clouds,Magnetosphere,Atmosphere,Ozone Layer,Magnetosphere
Which planet has the most moons?,Mars,Saturn,Jupiter,Earth,Saturn
Which is the largest desert?,Antarctic,Kalahari,Sahara,Gobi,Antarctic
Where is Mount Everest located?,Bhutan,India,Nepal,China,Nepal
Which planet is farthest from the sun?,Jupiter,Neptune,Uranus,Saturn,Neptune
Which galaxy do we live in?,Sombrero,Whirlpool,Andromeda,Milky Way,Milky Way
Which is the largest desert?,Kalahari,Sahara,Antarctic,Gobi,Antarctic
Which continent has the most countries?,Africa,South America,Asia,Europe,Africa
Which is the largest desert?,Antarctic,Kalahari,Gobi,Sahara,Antarctic
Which is the largest ocean?,Arctic,Indian,Pacific,Atlantic,Pacific
Which is the largest desert?,Antarctic,Gobi,Kalahari,Sahara,Antarctic
Which is the largest desert?,Sahara,Gobi,Antarctic,Kalahari,Antarctic
What protects Earth from solar winds?,Magnetosphere,Ozone Layer,Atmosphere,Clouds,Magnetosphere
What is the smallest country?,Nauru,Monaco,Tuvalu,Vatican City,Vatican City
Which is the hottest planet in the solar system?,Neptune,Venus,Mercury,Mars,Venus
What protects Earth from solar winds?,Atmosphere,Magnetosphere,Ozone Layer,Clouds,Magnetosphere
What protects Earth from solar winds?,Ozone Layer,Clouds,Atmosphere,Magnetosphere,Magnetosphere
Which is the largest ocean?,Pacific,Atlantic,Arctic,Indian,Pacific
First person on the Moon?,Yuri Gagarin,Buzz Aldrin,Michael Collins,Neil Armstrong,Neil Armstrong
Which continent has the most countries?,Africa,Europe,Asia,South America,Africa
Which planet is known as the Red Planet?,Venus,Jupiter,Mars,Mercury,Mars
Which river is the longest in the world?,Yangtze,Mississippi,Amazon,Nile,Nile
Which galaxy do we live in?,Andromeda,Sombrero,Milky Way,Whirlpool,Milky Way
Which is the largest ocean?,Indian,Pacific,Arctic,Atlantic,Pacific
What is the smallest country?,Tuvalu,Nauru,Vatican City,Monaco,Vatican City
Which country has the most islands?,Indonesia,Philippines,Finland,Sweden,Sweden
What is the smallest country?,Monaco,Vatican City,Nauru,Tuvalu,Vatican City
Which galaxy do we live in?,Milky Way,Whirlpool,Andromeda,Sombrero,Milky Way
Which is the largest ocean?,Arctic,Indian,Atlantic,Pacific,Pacific
Which is the hottest planet in the solar system?,Neptune,Mars,Mercury,Venus,Venus
What is the largest planet in our solar system?,Jupiter,Mars,Saturn,Earth,Jupiter
Which continent has the most countries?,Africa,Europe,South America,Asia,Africa
What is the capital of Australia?,Sydney,Melbourne,Canberra,Brisbane,Canberra
Which is the hottest planet in the solar system?,Mercury,Venus,Mars,Neptune,Venus
Which river is the longest in the world?,Yangtze,Nile,Amazon,Mississippi,Nile
Which planet has the most moons?,Mars,Jupiter,Saturn,Earth,Saturn
Which planet is farthest from the sun?,Neptune,Uranus,Saturn,Jupiter,Neptune
What is the smallest country?,Vatican City,Tuvalu,Monaco,Nauru,Vatican City
Which planet has the most moons?,Jupiter,Saturn,Earth,Mars,Saturn
What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,Jupiter
What protects Earth from solar winds?,Magnetosphere,Atmosphere,Clouds,Ozone Layer,Magnetosphere
Which is the hottest planet in the solar system?,Neptune,Venus,Mercury,Mars,Venus
Which river is the longest in the world?,Yangtze,Mississippi,Amazon,Nile,Nile
Which planet is farthest from the sun?,Uranus,Saturn,Neptune,Jupiter,Neptune
First person on the Moon?,Yuri Gagarin,Michael Collins,Buzz Aldrin,Neil Armstrong,Neil Armstrong
What is the capital of Australia?,Melbourne,Canberra,Brisbane,Sydney,Canberra
Which country has the most islands?,Sweden,Indonesia,Philippines,Finland,Sweden
Which galaxy do we live in?,Milky Way,Whirlpool,Andromeda,Sombrero,Milky Way
Which planet has the most moons?,Mars,Earth,Saturn,Jupiter,Saturn
What protects Earth from solar winds?,Clouds,Atmosphere,Magnetosphere,Ozone Layer,Magnetosphere
Which planet is known as the Red Planet?,Mercury,Jupiter,Venus,Mars,Mars
Which is the largest ocean?,Arctic,Atlantic,Pacific,Indian,Pacific
Which galaxy do we live in?,Sombrero,Milky Way,Andromeda,Whirlpool,Milky Way
What is the capital of Australia?,Canberra,Brisbane,Melbourne,Sydney,Canberra
What is the capital of Australia?,Brisbane,Canberra,Melbourne,Sydney,Canberra
What is the largest planet in our solar system?,Jupiter,Mars,Saturn,Earth,Jupiter
Which is the largest desert?,Kalahari,Sahara,Gobi,Antarctic,Antarctic
Which continent has the most countries?,South America,Africa,Europe,Asia,Africa
What is the largest planet in our solar system?,Mars,Saturn,Earth,Jupiter,Jupiter
Which is the largest desert?,Kalahari,Sahara,Antarctic,Gobi,Antarctic
First person on the Moon?,Buzz Aldrin,Michael Collins,Neil Armstrong,Yuri Gagarin,Neil Armstrong
First person on the Moon?,Buzz Aldrin,Yuri Gagarin,Neil Armstrong,Michael Collins,Neil Armstrong
Which is the largest desert?,Gobi,Antarctic,Sahara,Kalahari,Antarctic
Which is the largest desert?,Kalahari,Sahara,Antarctic,Gobi,Antarctic
What is the smallest country?,Tuvalu,Vatican City,Nauru,Monaco,Vatican City
Which country has the most islands?,Philippines,Indonesia,Finland,Sweden,Sweden
What protects Earth from solar winds?,Magnetosphere,Atmosphere,Clouds,Ozone Layer,Magnetosphere
Which country has the most islands?,Indonesia,Sweden,Philippines,Finland,Sweden
Which country has the most islands?,Sweden,Finland,Philippines,Indonesia,Sweden
First person on the Moon?,Neil Armstrong,Yuri Gagarin,Buzz Aldrin,Michael Collins,Neil Armstrong
Which river is the longest in the world?,Nile,Yangtze,Amazon,Mississippi,Nile
Which is the largest desert?,Sahara,Gobi,Antarctic,Kalahari,Antarctic
Which river is the longest in the world?,Nile,Mississippi,Amazon,Yangtze,Nile
What is the largest planet in our solar system?,Saturn,Jupiter,Earth,Mars,Jupiter
Which planet is known as the Red Planet?,Jupiter,Mercury,Venus,Mars,Mars
Where is Mount Everest located?,India,Bhutan,China,Nepal,Nepal
Which country has the most islands?,Philippines,Finland,Sweden,Indonesia,Sweden
Which planet is known as the Red Planet?,Jupiter,Mercury,Mars,Venus,Mars
Which is the hottest planet in the solar system?,Venus,Neptune,Mercury,Mars,Venus
Which planet is known as the Red Planet?,Venus,Jupiter,Mercury,Mars,Mars
What is the smallest country?,Nauru,Tuvalu,Vatican City,Monaco,Vatican City
What is the largest planet in our solar system?,Jupiter,Earth,Mars,Saturn,Jupiter
Which planet has the most moons?,Earth,Saturn,Mars,Jupiter,Saturn
What is the smallest country?,Vatican City,Nauru,Monaco,Tuvalu,Vatican City
Which river is the longest in the world?,Nile,Yangtze,Amazon,Mississippi,Nile
What is the smallest country?,Tuvalu,Monaco,Nauru,Vatican City,Vatican City
Which river is the longest in the world?,Mississippi,Nile,Amazon,Yangtze,Nile
Which planet is known as the Red Planet?,Mercury,Mars,Venus,Jupiter,Mars
Which river is the longest in the world?,Mississippi,Amazon,Yangtze,Nile,Nile
Which planet is farthest from the sun?,Uranus,Neptune,Jupiter,Saturn,Neptune
What is the capital of Australia?,Sydney,Melbourne,Canberra,Brisbane,Canberra
What is the largest planet in our solar system?,Jupiter,Mars,Earth,Saturn,Jupiter
What is the smallest country?,Nauru,Vatican City,Monaco,Tuvalu,Vatican City
Which continent has the most countries?,Europe,South America,Africa,Asia,Africa
Which country has the most islands?,Finland,Sweden,Philippines,Indonesia,Sweden
What protects Earth from solar winds?,Ozone Layer,Magnetosphere,Atmosphere,Clouds,Magnetosphere
Which is the largest ocean?,Atlantic,Indian,Pacific,Arctic,Pacific
Which river is the longest in the world?,Nile,Yangtze,Mississippi,Amazon,Nile
Which planet has the most moons?,Saturn,Mars,Jupiter,Earth,Saturn
Where is Mount Everest located?,China,Nepal,Bhutan,India,Nepal
What is the largest planet in our solar system?,Earth,Jupiter,Saturn,Mars,Jupiter
Where is Mount Everest located?,Nepal,China,Bhutan,India,Nepal
What is the smallest country?,Tuvalu,Vatican City,Nauru,Monaco,Vatican City
Where is Mount Everest located?,Bhutan,Nepal,China,India,Nepal
Which planet has the most moons?,Saturn,Earth,Mars,Jupiter,Saturn
Which galaxy do we live in?,Milky Way,Whirlpool,Sombrero,Andromeda,Milky Way
Which is the largest ocean?,Arctic,Indian,Atlantic,Pacific,Pacific
Which planet is known as the Red Planet?,Jupiter,Mercury,Mars,Venus,Mars
Which galaxy do we live in?,Sombrero,Whirlpool,Andromeda,Milky Way,Milky Way
Which is the hottest planet in the solar system?,Neptune,Venus,Mercury,Mars,Venus
What is the smallest country?,Vatican City,Nauru,Monaco,Tuvalu,Vatican City
Which planet is farthest from the sun?,Neptune,Uranus,Jupiter,Saturn,Neptune
Which planet is known as the Red Planet?,Jupiter,Venus,Mars,Mercury,Mars
First person on the Moon?,Buzz Aldrin,Neil Armstrong,Yuri Gagarin,Michael Collins,Neil Armstrong
Which galaxy do we live in?,Sombrero,Andromeda,Milky Way,Whirlpool,Milky Way
Where is Mount Everest located?,India,Nepal,China,Bhutan,Nepal
